Symbol,RebateRate,FeeRate,Available
ARHH,-3.2416,3.3216,75000
ARHTF,-1.6828,1.7628,100000
ARI,-0.171,0.251,7400000
ARIOQ,-0.17,0.25,10000000
ARKF,-2.1542,2.2342,1300000
ARKG,-2.3334,2.4134,1500000
ARKK,-0.3607,0.4407,950000
ARKO,-3.2685,3.3485,55000
ARKQ,-5.3518,5.4318,450000
ARKR,-0.2555,0.3355,100000
ARKW,-1.2295,1.3095,750000
ARL,-0.3825,0.4625,15000
ARLO,-0.17,0.25,4300000
ARLP,-3.2322,3.3122,2600000
ARMC,-2.0868,2.1668,7000
ARMK,-0.17,0.25,8600000
ARMP,-59.8526,59.9326,10000
ARNA,-0.17,0.25,1100000
ARNC,-0.17,0.25,2800000
ARNGF,-1.0222,1.1022,1700000
AROC,-0.17,0.25,10000000
AROW,-0.2141,0.2941,700000
ARPC,-2.4362,2.5162,4000
ARPO,-4.1668,4.2468,950000
ARQT,-0.4147,0.4947,20000
ARR,-0.3065,0.3865,550000
ARR PRC,-19.5117,19.5917,65000
ARREF,-0.5137,0.5937,40000
ARRY,-0.17,0.25,4100000
ARSN,-0.8514,0.9314,2200000
ARST,-3.5447,3.6247,6000000
ARTH,-4.086,4.166,1300000
ARTM,-1.0549,1.1349,90000
ARTNA,-0.2244,0.3044,350000
ARTW,-2.3994,2.4794,30000
ARVN,-0.1752,0.2552,750000
ARVY,-2.5848,2.6648,200000
ARW,-0.3065,0.3865,5700000
ARWR,-0.17,0.25,1900000
ARYA,-0.17,0.25,55000
ARYX,-1.488,1.568,95000
ARZGY,-0.6854,0.7654,100
ARZTY,-3.8559,3.9359,8000
ASA,-0.3556,0.4356,1400000
ASAN,-0.17,0.25,1100000
ASAQ,-0.9648,1.0448,150000
ASAZY,-4.239,4.319,35000
ASB,-0.17,0.25,10000000
ASB PRD,-43.3612,43.4412,8000
ASB PRE,-19.7757,19.8557,6000
ASBFY,-3.3225,3.4025,1000
ASC,-0.3065,0.3865,2900000
ASCK,-4.086,4.166,250000
ASDN,-1.8257,1.9057,100000
ASEA,-5.0371,5.1171,2000
ASEKY,-2.5798,2.6598,1000
ASET,-1.4973,1.5773,1000
ASG,-25.2376,25.3176,100000
ASGI,-95.6326,95.7126,10000
ASGLY,-2.32,2.4,2000
ASGN,-0.17,0.25,3500000
ASH,-0.1916,0.2716,3200000
ASHR,-5.8908,5.9708,300000
ASHS,-8.6118,8.6918,25000
ASHTY,-1.9759,2.0559,10000
ASHX,-5.5567,5.6367,4000
ASIX,-0.4147,0.4947,1800000
ASKDF,-4.0427,4.1227,10000
ASKE,-1.0008,1.0808,10000000
ASKH,-2.9101,2.9901,55000
ASLM,-0.17,0.25,1000
ASLN,-26.6659,26.7459,300000
ASM,-11.9866,12.0666,800000
ASMB,-0.3065,0.3865,900000
ASMIY,-0.8384,0.9184,200
ASML,-0.17,0.25,1200000
ASNAQ,-131.1939,131.2739,20000
ASNB,-0.7995,0.8795,50000
ASND,-0.17,0.25,1400000
ASNT,-0.8254,0.9054,850000
ASO,-7.7089,7.7889,100000
ASPL,-0.1748,0.2548,500
ASPN,-1.1184,1.1984,1200000
ASPS,-0.214,0.294,60000
ASPU,-0.3838,0.4638,250000
ASR,-0.5252,0.6052,200000
ASRT,-0.257,0.337,1100000
ASRV,-0.523,0.603,1000000
ASRVP,-3.4025,3.4825,200
ASTC,-60.9699,61.0499,250000
ASTE,-0.1729,0.2529,1900000
ASTI,-1.5009,1.5809,10000000
ASTN,-0.17,0.25,700
ASUR,-0.3032,0.3832,900000
ASVPQ,-0.17,0.25,100000
ASX,-0.3715,0.4515,1400000
ASYS,-0.5475,0.6275,1500000
AT,-1.8871,1.9671,3900000
ATAC,-1.2782,1.3582,100000
ATAC U,-10.9693,11.0493,50000
ATADF,-13.0753,13.1553,200000
ATAO,-0.8384,0.9184,5000
ATASY,-23.6619,23.7419,1000
ATAX,-3.8351,3.9151,300000
ATBHF,-11.8802,11.9602,50000
ATBPF,-3.7304,3.8104,6000
ATCC,-1.0549,1.1349,10000
ATCH,-0.17,0.25,350000
ATCO,-0.3065,0.3865,100000
ATCO PRD,-92.3862,92.4662,45000
ATCO PRE,-26.141,26.221,100000
ATCO PRG,-8.5783,8.6583,90000
ATCO PRH,-81.8032,81.8832,100000
ATCO PRI,-92.8203,92.9003,80000
ATCTW,-0.17,0.25,3000
ATCX,-2.4574,2.5374,50000
ATDRY,-17.7487,17.8287,20000
ATDS,-1.5962,1.6762,9800000
ATEC,-0.3065,0.3865,1000000
ATEN,-0.3521,0.4321,1200000
ATEX,-0.3299,0.4099,100000
ATEYY,-17.5784,17.6584,600
ATGE,-0.17,0.25,6000000
ATGN,-1.1026,1.1826,500000
ATH,-0.17,0.25,9900000
ATH PRA,-3.872,3.952,35000
ATH PRB,-6.2333,6.3133,20000
ATH PRC,-0.3179,0.3979,50000
ATH PRD,-0.17,0.25,25000
ATHA,-0.55,0.63,40000
ATHE,-73.4851,73.5651,150000
ATHM,-0.17,0.25,900000
ATHX,-0.8723,0.9523,650000
ATI,-0.17,0.25,9600000
ATIF,-83.7954,83.8754,200000
ATKR,-0.3065,0.3865,3200000
ATLC,-0.3672,0.4472,600000
ATLCY,-3.121,3.201,100
ATLKY,-1.873,1.953,150000
ATLO,-0.1724,0.2524,100000
ATLS,-5.385,5.465,700000
ATMP,-4.8532,4.9332,55000
ATNAQ,-0.22,0.3,95000
ATNF,-17.2009,17.2809,200000
ATNI,-0.3065,0.3865,1200000
ATNM,-2.8621,2.9421,35000
ATNX,-0.3065,0.3865,400000
ATO,-0.17,0.25,3200000
ATOM,-4.4294,4.5094,35000
ATOS,-12.8182,12.8982,950000
ATR,-0.17,0.25,2100000
ATRA,-0.17,0.25,2100000
ATRC,-0.17,0.25,1600000
ATRI,-0.17,0.25,80000
ATRO,-0.2603,0.3403,1500000
ATROB,-0.3643,0.4443,150000
ATRS,-0.2372,0.3172,1400000
ATRX,-0.8686,0.9486,20000
ATSAF,-0.2834,0.3634,150000
ATSG,-0.3065,0.3865,3600000
ATTBF,-0.8384,0.9184,700000
ATTGQ,-0.17,0.25,10000
ATTO,-1.9758,2.0558,250000
ATURF,-3.4095,3.4895,95000
ATUS,-0.2419,0.3219,5100000
ATUSF,-0.4084,0.4884,9000
ATV,-4.3335,4.4135,35000
ATVI,-0.17,0.25,10000000
ATVK,-1.6503,1.7303,10000000
ATWOQ,-0.17,0.25,1000
ATWT,-1.0636,1.1436,250000
ATXI,-1.5385,1.6185,80000
AU,-0.3119,0.3919,2000000
AUB,-0.17,0.25,5600000
AUBAP,-11.2294,11.3094,70000
AUBN,-3.7783,3.8583,30000
AUCOY,-34.9557,35.0357,2000
AUDC,-0.9019,0.9819,350000
AUGZ,-2.4174,2.4974,100
AUIAF,-0.8384,0.9184,2000
AUKNY,-2.8504,2.9304,1000
AUMBF,-4.5658,4.6458,100000
AUMN,-18.9095,18.9895,100000
AUNFF,-20.672,20.752,500000
AUOTY,-1.2069,1.2869,70000
AUPH,-1.2395,1.3195,1000000
AURI,-0.8384,0.9184,3500000
AUSAF,-1.519,1.599,80000
AUSF,-2.4445,2.5245,10000
AUSI,-0.8384,0.9184,15000
AUTL,-0.5086,0.5886,15000
AUTO,-4.079,4.159,350000
AUVI,-79.8211,79.9011,60000
AUXXF,-1.1978,1.2778,15000
AUY,-0.2643,0.3443,7300000
AVA,-0.17,0.25,2400000
AVAL,-5.2548,5.3348,100000
AVAN,-0.6534,0.7334,200000
AVAN U,-0.6854,0.7654,10000
AVAV,-0.1809,0.2609,1100000
AVB,-0.1982,0.2782,4300000
AVBH,-0.8384,0.9184,600
AVCO,-18.6418,18.7218,600000
AVCT,-99.7454,99.8254,150000
AVD,-0.3689,0.4489,2800000
AVDE,-9.9039,9.9839,75000
AVDL,-0.8377,0.9177,450000
AVDV,-15.4799,15.5599,100000
AVEM,-2.2875,2.3675,30000
AVEO,-1.5875,1.6675,300000
AVGO,-0.17,0.25,10000000
AVGOP,-0.3426,0.4226,100000
AVGR,-16.2379,16.3179,150000
AVHOQ,-4.3953,4.4753,400000
AVID,-0.3838,0.4638,1900000
AVIFY,-1.0913,1.1713,4000
AVIR,-0.4626,0.5426,20000
AVK,-5.6247,5.7047,150000
AVLNF,-0.8384,0.9184,35000
AVLR,-0.17,0.25,2300000
AVNS,-0.17,0.25,3000000
AVNT,-0.4147,0.4947,4600000
AVNW,-0.3149,0.3949,250000
AVO,-0.614,0.694,350000
AVOI,-0.22,0.3,3000
AVPMD,-0.8384,0.9184,35000
AVRO,-0.17,0.25,1000000
AVRTF,-0.7865,0.8665,35000
AVSR,-0.5137,0.5937,4000
AVT,-0.17,0.25,7900000
AVTR,-0.17,0.25,10000000
AVTR PRA,-0.3477,0.4277,1100000
AVUS,-10.6078,10.6878,30000
AVUV,-12.8759,12.9559,100000
AVVIY,-8.0878,8.1678,70000
AVXL,-2.3932,2.4732,500000
AVXT,-0.5202,0.6002,400000
AVY,-0.17,0.25,4100000
AVYA,-0.3065,0.3865,4000000
AWAY,-2.7758,2.8558,250000
AWCMY,-2.5175,2.5975,45000
AWF,-3.7264,3.8064,10000
AWGI,-0.8384,0.9184,10000000
AWH,-2.0097,2.0897,3800000
AWI,-0.17,0.25,1700000
AWK,-0.17,0.25,4400000
AWON,-0.22,0.3,150000
AWP,-38.0566,38.1366,550000
AWR,-0.1782,0.2582,1200000
AWRE,-0.6908,0.7708,1300000
AWSL,-0.8384,0.9184,100000
AWX,-10.4551,10.5351,75000
AX,-0.17,0.25,3400000
AXAHY,-1.3753,1.4553,150000
AXAS,-13.5176,13.5976,100000
AXCG,-0.17,0.25,700000
AXDDF,-1.6179,1.6979,55000
AXDX,-8.6852,8.7652,250000
AXGC,-0.4655,0.5455,45000
AXGN,-0.3805,0.4605,650000
AXIHQ,-0.22,0.3,40000
AXIM,-2.787,2.867,70000
AXL,-0.3065,0.3865,10000000
AXLA,-0.3269,0.4069,200000
AXMIF,-1.0789,1.1589,20000
AXNVF,-0.7878,0.8678,5000
AXNX,-0.2241,0.3041,100000
AXO,-34.9725,35.0525,10000
AXP,-0.2141,0.2941,10000000
AXR,-1.0512,1.1312,250000
AXREF,-0.17,0.25,1000
AXS,-0.17,0.25,3900000
AXS PRE,-3.2225,3.3025,35000
AXSM,-0.1931,0.2731,350000
AXTA,-0.17,0.25,9900000
AXTI,-0.3065,0.3865,3900000
AXU,-31.0618,31.1418,1700000
AXXA,-2.787,2.867,1500000
AY,-0.3065,0.3865,1300000
AYI,-0.17,0.25,800000
AYLA,-0.55,0.63,25000
AYRO,-55.1126,55.1926,2000
AYRWF,-9.6274,9.7074,150000
AYSI,-5.0603,5.1403,45000
AYTU,-8.9512,9.0312,450000
AYX,-0.17,0.25,500000
AZBO,-8.263,8.343,500
AZEK,-0.17,0.25,2100000
AZFL,-0.17,0.25,10000000
AZLCZ,-0.17,0.25,200
AZMCF,-11.9458,12.0258,900
AZN,-0.17,0.25,1900000
AZO,-0.17,0.25,1000000
AZPN,-0.17,0.25,1400000
AZRE,-0.956,1.036,65000
AZRX,-2.3132,2.3932,250000
AZUL,-0.4331,0.5131,500000
AZYO,-9.2544,9.3344,1000
AZZ,-0.17,0.25,1600000
AZZUF,-3.4433,3.5233,65000
B,-0.17,0.25,4100000
BA,-0.17,0.25,10000000
BAB,-1.9844,2.0644,600000
BABA,-0.17,0.25,10000000
BABB,-1.3797,1.4597,35000
BABL,-0.17,0.25,80000
BABYF,-18.1602,18.2402,200000
BAC,-0.17,0.25,10000000
BAC PRA,-12.1128,12.1928,70000
BAC PRB,-5.4353,5.5153,150000
BAC PRC,-10.9152,10.9952,95000
BAC PRE,-6.4336,6.5136,45000
BAC PRK,-1.6326,1.7126,85000
BAC PRL,-9.3699,9.4499,100000
BAC PRM,-21.3435,21.4235,100000
BAC PRN,-4.0646,4.1446,40000
BACHY,-5.2861,5.3661,30000
BADFF,-0.211,0.291,1000
BAESY,-2.6426,2.7226,6000
BAH,-0.17,0.25,5800000
BAK,-1.234,1.314,150000
BAL,-2.6159,2.6959,2000
BALY,-0.3065,0.3865,200000
BAM,-0.17,0.25,10000000
BAMH,-0.9646,1.0446,25000
BAMI,-0.4653,0.5453,55000
BANC,-0.1861,0.2661,4900000
BANC PRD,-3.527,3.607,90000
BANC PRE,-103.5252,103.6052,95000
BAND,-0.17,0.25,200000
BANF,-0.17,0.25,950000
BANFP,-10.9802,11.0602,8000
BANR,-0.2484,0.3284,3200000
BANT,-6.0475,6.1275,10000000
BANX,-0.4147,0.4947,30000
BAP,-0.1882,0.2682,650000
BAR,-2.703,2.783,250000
BASA,-2.9494,3.0294,90000
BASFY,-5.2466,5.3266,85000
BASI,-1.0531,1.1331,30000
BASX,-1.2931,1.3731,750000
BATL,-0.955,1.035,75000
BATRA,-0.2379,0.3179,150000
BATRB,-0.22,0.3,1000
BATRK,-0.1932,0.2732,1700000
BATT,-4.7448,4.8248,95000
BAX,-0.17,0.25,10000000
BAXSQ,-0.22,0.3,100000
BAYK,-1.488,1.568,2000
BAYP,-0.22,0.3,1900000
BAYRY,-4.047,4.127,350000
BB,-0.2041,0.2841,2700000
BBAR,-2.0546,2.1346,800000
BBAX,-10.428,10.508,100000
BBBK,-0.17,0.25,200
BBBY,-0.4346,0.5146,1300000
BBC,-1.9395,2.0195,15000
BBCA,-11.8273,11.9073,3000
BBCP,-0.547,0.627,250000
BBD,-0.4115,0.4915,10000000
BBDC,-0.8217,0.9017,750000
BBDO,-44.7484,44.8284,25000
BBEU,-3.3294,3.4094,850000
BBF,-8.1277,8.2077,10000
BBGI,-76.002,76.082,250000
BBH,-1.6434,1.7234,15000
BBI,-29.3431,29.4231,300000
BBIG,-18.3245,18.4045,35000
BBIN,-3.9182,3.9982,45000
BBIO,-0.543,0.623,70000
BBJP,-5.4665,5.5465,40000
BBK,-22.3358,22.4158,10000
BBKCF,-25.1943,25.2743,450000
BBL,-0.17,0.25,1200000
BBLS,-0.17,0.25,30000
BBN,-15.2801,15.3601,150000
BBP,-6.4363,6.5163,20000
BBQ,-1.103,1.183,200000
BBRE,-4.296,4.376,85000
BBRW,-5.398,5.478,10000000
BBSA,-1.638,1.718,200
BBSEY,-8.8075,8.8875,600
BBSI,-0.1917,0.2717,450000
BBSRF,-50.0862,50.1662,85000
BBU,-7.6898,7.7698,6000
BBVA,-0.3943,0.4743,800000
BBW,-0.55,0.63,950000
BBXIA,-0.8514,0.9314,1300000
BBY,-0.17,0.25,9500000
BC,-0.17,0.25,4700000
BC PRA,-113.4032,113.4832,35000
BC PRB,-113.2605,113.3405,100000
BC PRC,-115.5947,115.6747,85000
BCAB,-3.638,3.718,25000
BCAL,-0.8384,0.9184,70000
BCAP,-0.17,0.25,2800000
BCAT,-15.4995,15.5795,35000
BCBP,-0.195,0.275,850000
BCC,-0.1931,0.2731,3400000
BCCEF,-1.7153,1.7953,100000
BCCI,-5.3201,5.4001,100000
BCD,-7.8993,7.9793,6000
BCDA,-32.3048,32.3848,300000
BCDS,-0.9034,0.9834,900
BCE,-0.1969,0.2769,3500000
BCEI,-0.17,0.25,2100000
BCEKF,-5.838,5.918,35000
BCEL,-0.1881,0.2681,150000
BCH,-1.8365,1.9165,250000
BCI,-8.4241,8.5041,35000
BCLI,-10.8836,10.9636,450000
BCM,-2.8504,2.9304,500
BCML,-0.2371,0.3171,200000
BCO,-0.17,0.25,2600000
BCOMF,-26.1178,26.1978,80000
BCOR,-0.1979,0.2779,5500000
BCOV,-0.2804,0.3604,850000
BCOW,-0.7223,0.8023,6000
BCPC,-0.17,0.25,1500000
BCPO,-0.17,0.25,50000
BCRHF,-1.1112,1.1912,300000
BCRX,-0.3111,0.3911,650000
BCS,-0.17,0.25,1500000
BCSF,-4.0942,4.1742,350000
BCSO,-0.17,0.25,1000
BCTF,-0.6761,0.7561,10000
BCTG,-0.55,0.63,200000
BCV,-6.473,6.553,10000
BCV PRA,-103.2545,103.3345,15000
BCX,-0.6854,0.7654,80000
BCYC,-2.0319,2.1119,35000
BDC,-0.17,0.25,3300000
BDCO,-1.5009,1.5809,100
BDCX,-0.3809,0.4609,1000
BDEC,-5.7029,5.7829,4000
BDGE,-0.2289,0.3089,1000000
BDGR,-0.17,0.25,10000000
BDGY,-1.383,1.463,2000
BDJ,-1.6767,1.7567,300000
BDL,-3.2564,3.3364,65000
BDN,-0.17,0.25,5400000
BDORY,-2.3092,2.3892,50000
BDOUY,-306.8232,306.9032,6000
BDPT,-2.787,2.867,50000
BDR,-76.2816,76.3616,75000
BDRBF,-0.7085,0.7885,750000
BDRFY,-79.3308,79.4108,200000
BDRY,-3.1331,3.2131,100000
BDSI,-0.3763,0.4563,2700000
BDSX,-2.614,2.694,25000
BDTX,-0.5814,0.6614,200000
BDVSY,-13.9517,14.0317,2000
BDX,-0.17,0.25,8600000
BDXB,-0.3685,0.4485,200000
BE,-0.2243,0.3043,450000
BEAM,-0.3922,0.4722,95000
BEAT,-0.1712,0.2512,1800000
BEBE,-66.1208,66.2008,650000
BECN,-0.17,0.25,6400000
BEDU,-1.0592,1.1392,2800000
BEEM,-12.9215,13.0015,45000
BEGI,-2.4622,2.5422,850000
BEHL,-0.17,0.25,250000
BEKE,-0.1943,0.2743,4300000
BELFA,-0.523,0.603,75000
BELFB,-0.3593,0.4393,650000
BELP,-1.4464,1.5264,4000
BEMG,-0.22,0.3,700000
BEN,-0.1772,0.2572,6100000
BENEU,-0.17,0.25,75000
BEP,-2.2231,2.3031,450000
BEP PRA,-2.6358,2.7158,9000
BEPC,-0.2382,0.3182,2600000
BERI,-1.6958,1.7758,4000
BERK,-0.17,0.25,25000
BERY,-0.17,0.25,2900000
BESNQ,-0.17,0.25,500
BEST,-1.175,1.255,10000000
BETRF,-4.9566,5.0366,4000
BETZ,-5.5472,5.6272,200000
BEVVF,-1.384,1.464,80000
BF A,-0.3065,0.3865,400000
BF B,-0.17,0.25,3700000
BFAM,-0.17,0.25,1200000
BFC,-1.3528,1.4328,250000
BFCC,-0.17,0.25,8000
BFEB,-1.2266,1.3066,2000
BFGC,-4.6701,4.7501,350000
BFI,-3.6222,3.7022,15000
BFIN,-0.4147,0.4947,1400000
BFIT,-3.8382,3.9182,300
BFNH,-1.488,1.568,200
BFOR,-2.3092,2.3892,80000
BFRA,-207.0145,207.0945,10000
BFS,-0.3065,0.3865,600000
BFS PRD,-28.3284,28.4084,15000
BFS PRE,-3.0014,3.0814,25000
BFST,-0.3967,0.4767,100000
BFT,-4.9005,4.9805,5900000
BFT U,-0.17,0.25,8000
BFTL,-8.5677,8.6477,30000
BFTR,-3.2842,3.3642,1000
BFY,-4.3335,4.4135,10000
BFZ,-7.6782,7.7582,10000
BG,-0.17,0.25,5700000
BGAOY,-18.2764,18.3564,4000
BGB,-7.6759,7.7559,200000
BGCP,-0.3065,0.3865,7800000
BGEPF,-1.8906,1.9706,400000
BGFV,-1.2313,1.3113,1000000
BGH,-3.7762,3.8562,50000
BGI,-114.188,114.268,85000
BGIO,-109.4791,109.5591,50000
BGMD,-0.22,0.3,100
BGNE,-0.17,0.25,1100000
BGR,-1.9636,2.0436,250000
BGS,-3.519,3.599,650000
BGSF,-0.17,0.25,350000
BGT,-43.5533,43.6333,45000
BGX,-24.6903,24.7703,100000
BGY,-9.7121,9.7921,15000
BH,-0.2644,0.3444,70000
BH A,-0.6951,0.7751,5000
BHAT,-54.6763,54.7563,650000
BHB,-0.3662,0.4462,500000
BHC,-0.3065,0.3865,3600000
BHE,-0.17,0.25,4100000
BHF,-0.17,0.25,3000000
BHFAL,-15.7835,15.8635,40000
BHFAN,-4.7126,4.7926,60000
BHFAO,-5.9627,6.0427,10000
BHFAP,-7.462,7.542,60000
BHK,-19.3701,19.4501,150000
BHLB,-0.1809,0.2609,4500000
BHP,-0.3755,0.4555,250000
BHR,-0.3065,0.3865,550000
BHR PRB,-52.5893,52.6693,200000
BHR PRD,-16.484,16.564,75000
BHRB,-0.17,0.25,2000
BHSE,-0.9044,0.9844,25000
BHSEU,-1.159,1.239,40000
BHTG,-13.3466,13.4266,150000
BHV,-19.3589,19.4389,4000
BHVN,-0.17,0.25,1300000
BHWB,-6.7563,6.8363,500
BIB,-6.0385,6.1185,75000
BIBL,-6.5093,6.5893,10000
BICEY,-2.32,2.4,200
BICK,-7.1805,7.2605,300
BICX,-2.3051,2.3851,3000
BIDU,-0.17,0.25,10000000
BIEI,-8.9574,9.0374,7700000
BIEL,-0.22,0.3,45000
BIF,-3.5939,3.6739,650000
BIFC,-19.6295,19.7095,100000
BIG,-0.1726,0.2526,450000
BIGC,-1.3678,1.4478,450000
BIIB,-0.17,0.25,5300000
BIIO,-5.8954,5.9754,500
BIL,-3.7164,3.7964,500000
BILI,-0.2909,0.3709,2500000
BILL,-0.17,0.25,1300000
BILZF,-28.4239,28.5039,55000
BIMI,-76.8771,76.9571,35000
BIO,-0.17,0.25,650000
BIOC,-9.6874,9.7674,35000
BIOIF,-0.8384,0.9184,3000
BIOL,-10.0065,10.0865,500000
BIONQ,-1.6503,1.7303,1300000
BIOX,-53.7005,53.7805,25000
BIOYF,-10.7183,10.7983,100000
BIP,-0.8665,0.9465,2000000
BIP PRA,-0.6854,0.7654,35000
BIPC,-1.4608,1.5408,60000
BIQIF,-0.8644,0.9444,65000
BIREF,-2.787,2.867,100000
BIS,-21.7068,21.7868,20000
BIT,-10.3598,10.4398,100000
BITTF,-0.22,0.3,2000
BIV,-1.7679,1.8479,1200000
BIVI,-10.0815,10.1615,10000
BIZD,-4.1777,4.2577,150000
BJ,-0.17,0.25,3200000
BJK,-7.5865,7.6665,6000
BJRI,-0.3065,0.3865,1200000
BJUL,-7.7218,7.8018,2000
BK,-0.17,0.25,10000000
BKBEF,-26.0656,26.1456,15000
BKCC,-0.5912,0.6712,1000000
BKD,-0.3956,0.4756,10000000
BKE,-0.1944,0.2744,85000
BKEAY,-4.0975,4.1775,7000
BKEN,-0.9034,0.9834,1500000
BKEP,-9.7515,9.8315,1300000
BKEPP,-0.17,0.25,75000
BKF,-5.7285,5.8085,15000
BKGFY,-2.3092,2.3892,400
BKH,-0.17,0.25,1900000
BKHYY,-34.8312,34.9112,500
BKI,-0.17,0.25,4300000
BKIRF,-1.2444,1.3244,100000
BKKLY,-19.8569,19.9369,1000
BKLC,-1.5424,1.6224,97
BKLLF,-7.6146,7.6946,10000
BKLN,-0.2026,0.2826,5000000
BKN,-97.0996,97.1796,15000
BKNG,-0.17,0.25,1800000
BKNIY,-0.6745,0.7545,45000
BKOR,-1.488,1.568,35000
BKR,-0.17,0.25,10000000
BKRIY,-29.3001,29.3801,2000
BKRKY,-2.1893,2.2693,20000
BKRRF,-21.5396,21.6196,150000
BKSC,-0.8369,0.9169,45000
BKT,-9.1754,9.2554,800000
BKTI,-1.4431,1.5231,25000
BKTPF,-65.0365,65.1165,65000
BKU,-0.17,0.25,6400000
BKYI,-18.7524,18.8324,150000
BL,-0.17,0.25,950000
BLAGF,-7.9981,8.0781,25000
BLBD,-0.4147,0.4947,950000
BLCM,-3.0935,3.1735,200000
BLCN,-9.2203,9.3003,50000
BLCT,-5.082,5.162,1100000
BLD,-0.17,0.25,1900000
BLDP,-0.6416,0.7216,900000
BLDR,-0.17,0.25,10000000
BLDV,-0.17,0.25,300000
BLE,-64.5894,64.6694,15000
BLEG,-1.488,1.568,1000
BLEVF,-14.0452,14.1252,10000
BLFE,-1.7189,1.7989,25000
BLFS,-0.3838,0.4638,500000
BLGI,-0.8384,0.9184,1000
BLGO,-3.1117,3.1917,35000
BLGW,-0.17,0.25,65000
BLI,-0.3403,0.4203,80000
BLIAQ,-0.8384,0.9184,35000
BLIBQ,-1.7137,1.7937,45000
BLIN,-9.998,10.078,100000
BLK,-0.17,0.25,2700000
BLKB,-0.1886,0.2686,2100000
BLKCF,-34.0985,34.1785,1100000
BLL,-0.17,0.25,10000000
BLMC,-7.496,7.576,300
BLMN,-0.17,0.25,3200000
BLNK,-39.1135,39.1935,300
BLOK,-3.0902,3.1702,350000
BLOZF,-19.0248,19.1048,150000
BLPG,-0.8384,0.9184,5600000
BLPH,-13.903,13.983,45000
BLRVQ,-0.17,0.25,10000
BLRX,-79.7558,79.8358,550000
BLSP,-0.8619,0.9419,10000000
BLU,-14.0089,14.0889,300000
BLUE,-0.17,0.25,800000
BLV,-0.55,0.63,600000
BLW,-12.0831,12.1631,50000
BLX,-0.3374,0.4174,2000000
BLXX,-1.0549,1.1349,2300000
BLYQ,-0.22,0.3,200
BMA,-0.1767,0.2567,200000
BMAR,-1.4296,1.5096,500
BMBN,-0.22,0.3,1000
BMCS,-2.0985,2.1785,200000
BME,-98.7079,98.7879,10000
BMGP,-1.2411,1.3211,400000
BMI,-0.17,0.25,1200000
BMIN,-0.22,0.3,20000
BML PRG,-85.2423,85.3223,15000
BML PRH,-86.5625,86.6425,150000
BML PRJ,-23.7635,23.8435,1000
BML PRL,-3.4509,3.5309,500
BMLP,-10.834,10.914,800
BMMCF,-2.7567,2.8367,4000
BMMJ,-8.5157,8.5957,500000
BMNM,-2.2674,2.3474,25000
BMO,-0.2698,0.3498,4000000
BMOOF,-0.8397,0.9197,10000
BMRA,-13.5426,13.6226,80000
BMRC,-0.1941,0.2741,550000
BMRK,-1.5009,1.5809,35000
BMRN,-0.17,0.25,2800000
BMSPF,-0.9683,1.0483,950000
BMTC,-0.4147,0.4947,1200000
BMTX,-10.0239,10.1039,1000
BMWLF,-1.393,1.473,15000
BMWYY,-24.0503,24.1303,100000
BMXC,-0.8774,0.9574,7900000
BMXI,-0.8514,0.9314,200
BMY,-0.17,0.25,10000000
BNAUF,-10.8954,10.9754,100
BNCC,-3.0035,3.0835,20000
BND,-0.17,0.25,10000000
BNDC,-5.8118,5.8918,4000
BNDSY,-3.6082,3.6882,900
BNDW,-19.6811,19.7611,8000
BNDX,-0.4647,0.5447,3500000
BNED,-0.17,0.25,3200000
BNFT,-0.3065,0.3865,500000
BNGI,-2.0855,2.1655,10000000
BNGO,-45.8422,45.9222,450000
BNGXF,-0.17,0.25,100000
BNKD,-12.8006,12.8806,1000
BNKU,-20.5767,20.6567,65000
BNL,-0.7838,0.8638,450000
BNO,-2.4648,2.5448,350000
BNOEF,-0.17,0.25,1000
BNPQY,-2.658,2.738,200000
BNR,-27.524,27.604,300000
BNS,-0.3339,0.4139,6300000
BNSO,-119.2218,119.3018,8000
BNTC,-91.93,92.01,45000
BNTGY,-100.7443,100.8243,15000
BNTX,-1.3221,1.4021,250000
BNVIF,-19.3288,19.4088,15000
BNY,-30.7941,30.8741,20
BNYN,-0.17,0.25,2400000
BOAC,-0.6096,0.6896,20000
BOAC U,-0.3065,0.3865,25000
BOALY,-1.1833,1.2633,15000
BOCH,-0.304,0.384,700000
BODY,-2.787,2.867,30000
BOE,-9.1704,9.2504,75000
BOGN,-0.17,0.25,4000
BOH,-0.1879,0.2679,1000000
BOID,-0.17,0.25,300
BOIL,-5.0686,5.1486,400000
BOKF,-0.17,0.25,2400000
BOKFL,-24.095,24.175,20000
BOLBP,-0.17,0.25,1000
BOMN,-0.1939,0.2739,500000
BOND,-0.3794,0.4594,200000
BONTQ,-48.253,48.333,25000
BONXF,-21.3761,21.4561,200000
BONZ,-1.1673,1.2473,3400000
BOOM,-0.1881,0.2681,500000
BOOT,-1.1364,1.2164,2300000
BOREF,-0.8384,0.9184,1000
BORK,-1.8127,1.8927,1000000
BORMF,-0.17,0.25,30000
BORNY,-3.2889,3.3689,100000
BORR,-13.5968,13.6768,550000
BORT,-13.1792,13.2592,8000
BOSC,-24.0799,24.1599,30000
BOSS,-1.6055,1.6855,1000
BOSSY,-11.7921,11.8721,2000
BOTH,,,100
BOTJ,-1.1438,1.2238,30000
BOTY,-0.8384,0.9184,10000000
